n,DATA,REG_SISCRIM,FATO,LOCAL,ORGAO,HORARIO,ENDERECO,LON_UTM,LAT_UTM,LON,LAT,VESTIG_BIO,LAUDO_INC,LAUDO,PCF_1,PCF_2,OCORR_SIGEPOL,ATIV_SISCRIM
185,12/12/15,5031/15,Preliminar - Cocaína,Outro,PRF,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,2579/15,Franus,Adriana,847/15,626/15
186,12/12/15,"5036/15, 5038/15, 5114/15",Estelionato - Bloqueador,ATM,CEF,,"Avenida República Argentina, 1148, Água Verde, Curitiba",672050,7183384,,,enviado INC,1206/16,"058, 059/16",Franus,Adriana,848/15,"624/15, 625/15"
187,15/12/15,5075/15,Preliminar - Outros,Outro,Outro,,SEM LOCAL DEFINIDO,-,-,,,nenhum,,2601/15,Maia,,-,002/16
188,16/12/15,5098/15,Furto,Viatura,Correios,,"Rua Nova Aurora, 1987",674632,7173962,,,,,2076/16,Aiga,Darwin,861/15,633/15
189,17/12/15,5154/15,Roubo,Agência,Correios,,"Rua Fredolin Wolf, 43, Almirante Tamandaré",671414,7199571,,,envio pendente,458/17,1126/16,Luiz,Adriana,864/15,058/16
190,18/12/15,5155/15,Roubo,Viatura,Correios,,"Parque Barigüi, Curitiba (PR)",669802,7186887,,,,,-,Ior,Sandro,870/15,
191,18/12/15,5156/15,Roubo,Agência,Correios,,"Avenida Nossa Senhora Aparecida, 327, Batel, Curitiba",670753,7184168,,,,,-,Ior,Sandro,871/15,
192,18/12/15,5157/15,Roubo,Agência,Correios,,"Rua Amazonas, 336, Piên",656948,7112365,,,,,-,Ior,Sandro,873/15,
193,20/12/15,5158/15,Constatação de danos,Agência,CEF,,"Rua João Eugênio, Terminal de Paranaguá, Costeira, Paranaguá",750468,7175535,,,,,1842/17,Ior,Sandro,877/15,
194,22/12/15,5159/15,Roubo,Agência,Correios,,"Rua Catarina Kinapik, 83, Quatro Barras",693895,7192739,,,laudo INC emitido,908/17,2592/16,Sérvio,Ota,879/15,
195,23/12/15,0021/16,Roubo,Viatura,Correios,,SEM LOCAL DEFINIDO,-,-,,,laudo INC emitido,661/17,144/16,Maia,Debora,886/15,003/16
196,23/12/15,0022/16,Furto,Viatura,Correios,,"Avenida República Argentina, 3197, Curitiba",671563,7181455,,,nenhum,,139/16,Maia,Debora,887/15,004/16
197,24/12/15,0023/16,Roubo,Viatura,Correios,,"Posto de combustível da BR 376, na serra de Garuva",714043,7119472,,,envio pendente,2818/16,2490/16,Akira,Marlon,889/15,644/15
198,24/12/15,0024/16,Furto,Agência,CEF,,"Rua Joinville, 3624, São José dos Pinhais",681797,7172443,,,cadastro pendente,2416/16,166/16,Maia,Debora,890/15,005/16
199,27/12/15,0025/16,Constatação de danos,Agência,CEF,,"Rua Canoinhas, 441, São José dos Pinhais",692045,7174562,,,,,1761/16,Sérvio,,898/15,
200,28/12/15,0026/16,Roubo,Agência,Correios,,"Avenida Brasil, 727, Centro, Mandirituba",667866,7147877,,,envio pendente,2838/16,1083/16,Dante,Brunori,900/15,645/15
201,30/12/15,0027/16,Roubo,Agência,CEF,,"Rua XV de Novembro, 7780, Tijucas do Sul",682352,7131154,,,cadastro pendente,2077/16,235/16,Bogo,Benazzi,902/15,646/15
202,31/12/15,-,,Agência,CEF,,SEM ENDEREÇO NO SISCRIM - AGUARDAR LAUDO,, ,,,nenhum,,-,Bogo,Benazzi,904/15,
